Song,Artist,Album,Cover Art,Year released
Need me,Ji,Hood life,cmu://1012235/42226380/Ji.JPG,2019
Somebody loves me,Drake,"Somebody loves me, Somebody loves me",,2025
no chill,Pnd,PARTNEXTDOOR 4,cmu://1012235/42226408/pnd.jpg,2024
Dreams and nightmares,Meek mill,"Dreams and nightmares, Dreams and nightmares",cmu://1012235/42218554/download.jpg,2012
Snooze,Sza,SOS,cmu://1012235/42226442/szaa.jpg,2022
Dangerously In Love,beyonce,"Dangerously In love, Danerously in Love",cmu://1012235/42226464/beyonce.jpg,2003
Where have you been,rihanna,Talk that Talk,cmu://1012235/42226516/rihanna.jpg,2011
Right My Wrongs,Bryson Tiller,Trapsoul,cmu://1012235/42226537/tiller.jpg,2015
Stranger,Jhene Aiko,Sailing souls,cmu://1012235/42226548/aiko.jpg,2011
you,Lloyd ,Street love,cmu://1012235/42226566/you.jpg,2007
